f_index,Faculty,key,Year,Full Authors List,published_name,Author Contribution Index,Other Authors
28,Siew Kei Lam,conf/aspdac/FellPL19,2019,"['Alexander Fell', 'Thinh Hung Pham']",Siew-Kei Lam,3,"['Alexander Fell', 'Thinh Hung Pham']"
28,Siew Kei Lam,conf/fpl/PiyasenaWPLW19,2019,"['Duvindu Piyasena', 'Rukshan Wickramasinghe', 'Debdeep Paul', 'Meiqing Wu']",Siew-Kei Lam,4,"['Duvindu Piyasena', 'Rukshan Wickramasinghe', 'Debdeep Paul', 'Meiqing Wu']"
28,Siew Kei Lam,conf/icdm/HeSJL19,2019,"['Peilan He', 'Yidan Sun', 'Guiyuan Jiang']",Siew-Kei Lam,4,"['Peilan He', 'Yidan Sun', 'Guiyuan Jiang']"
28,Siew Kei Lam,conf/mmsp/PiyasenaWPLW19,2019,"['Duvindu Piyasena', 'Rukshan Wickramasinghe', 'Debdeep Paul', 'Meiqing Wu']",Siew-Kei Lam,4,"['Duvindu Piyasena', 'Rukshan Wickramasinghe', 'Debdeep Paul', 'Meiqing Wu']"
28,Siew Kei Lam,conf/mva/SinghWL19,2019,"['Gaurav Singh', 'Meiqing Wu']",Siew-Kei Lam,3,"['Gaurav Singh', 'Meiqing Wu']"
28,Siew Kei Lam,conf/sdm/SunJLCH19,2019,"['Yidan Sun', 'Guiyuan Jiang', 'Shicheng Chen', 'Peilan He']",Siew-Kei Lam,3,"['Yidan Sun', 'Guiyuan Jiang', 'Shicheng Chen', 'Peilan He']"
28,Siew Kei Lam,conf/socc/KadiyalaPGNLS19,2019,"['Sai Praveen Kadiyala', 'Vikram Kumar Pudi', 'Mohit Garg', 'Hau Ngo', 'Thambipillai Srikanthan']",Siew-Kei Lam,5,"['Sai Praveen Kadiyala', 'Vikram Kumar Pudi', 'Mohit Garg', 'Hau Ngo', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/ccwc/RohithRCSSL18,2018,"['R. Rohith', 'Vijeta Rathore', 'Vivek Chaturvedi', 'Amit Kumar Singh', 'Thambipillai Srikanthan']",Siew-Kei Lam,6,"['R. Rohith', 'Vijeta Rathore', 'Vivek Chaturvedi', 'Amit Kumar Singh', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/ches/AlamMKLS18,2018,"['Manaar Alam', 'Debdeep Mukhopadhyay', 'Sai Praveen Kadiyala', 'Thambipillai Srikanthan']",Siew Kei Lam,4,"['Manaar Alam', 'Debdeep Mukhopadhyay', 'Sai Praveen Kadiyala', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/cvip/BhandariWALK18,2018,"['Piyush Bhandari', 'Meiqing Wu', 'Nazia Aslam', 'Maheshkumar Kolekar']",Siew-Kei Lam,4,"['Piyush Bhandari', 'Meiqing Wu', 'Nazia Aslam', 'Maheshkumar Kolekar']"
28,Siew Kei Lam,conf/date/VigJL18,2018,"['Saru Vig', 'Guiyuan Jiang']",Siew-Kei Lam,3,"['Saru Vig', 'Guiyuan Jiang']"
28,Siew Kei Lam,conf/date/RathoreCSSRLS18,2018,"['Vijeta Rathore', 'Vivek Chaturvedi', 'Amit Kumar Singh', 'Thambipillai Srikanthan', 'R. Rohith', 'Muhammad Shafique 0001']",Siew-Kei Lam,6,"['Vijeta Rathore', 'Vivek Chaturvedi', 'Amit Kumar Singh', 'Thambipillai Srikanthan', 'R. Rohith', 'Muhammad Shafique 0001']"
28,Siew Kei Lam,conf/fpl/PhamFBLV18,2018,"['Thinh Hung Pham', 'Alexander Fell', 'Arnab Kumar Biswas', 'Nandeesha Veeranna']",Siew-Kei Lam,4,"['Thinh Hung Pham', 'Alexander Fell', 'Arnab Kumar Biswas', 'Nandeesha Veeranna']"
28,Siew Kei Lam,conf/fpt/TranPLWJ18,2018,"['Phong Tran', 'Thinh Hung Pham', 'Meiqing Wu', 'Bhavan A. Jasani']",Siew Kei Lam,3,"['Phong Tran', 'Thinh Hung Pham', 'Meiqing Wu', 'Bhavan A. Jasani']"
28,Siew Kei Lam,conf/isca/VigLBM18,2018,"['Saru Vig', 'Sarani Bhattacharya', 'Debdeep Mukhopadhyay']",Siew-Kei Lam,2,"['Saru Vig', 'Sarani Bhattacharya', 'Debdeep Mukhopadhyay']"
28,Siew Kei Lam,conf/bmvc/ZhouWL17,2017,"['Chengju Zhou', 'Meiqing Wu']",Siew-Kei Lam,3,"['Chengju Zhou', 'Meiqing Wu']"
28,Siew Kei Lam,conf/fpt/LamBW17,2017,"['Rakesh Kumar Bijarniya', 'Meiqing Wu']",Siew-Kei Lam,1,"['Rakesh Kumar Bijarniya', 'Meiqing Wu']"
28,Siew Kei Lam,conf/ispa/WuHZGL17,2017,"['Jigang Wu', 'Zinan He', 'Yaoguo Zhang', 'Renfei Gao']",Siew Kei Lam,5,"['Jigang Wu', 'Zinan He', 'Yaoguo Zhang', 'Renfei Gao']"
28,Siew Kei Lam,conf/isvlsi/VigTJL17,2017,"['Saru Vig', 'Tan Yng Tzer', 'Guiyuan Jiang']",Siew-Kei Lam,4,"['Saru Vig', 'Tan Yng Tzer', 'Guiyuan Jiang']"
28,Siew Kei Lam,conf/lcn/ZhangWJCL17,2017,"['Zikai Zhang', 'Jigang Wu', 'Guiyuan Jiang', 'Long Chen 0006']",Siew-Kei Lam,5,"['Zikai Zhang', 'Jigang Wu', 'Guiyuan Jiang', 'Long Chen 0006']"
28,Siew Kei Lam,conf/mm/ZhouWL17,2017,"['Chengju Zhou', 'Meiqing Wu']",Siew-Kei Lam,3,"['Chengju Zhou', 'Meiqing Wu']"
28,Siew Kei Lam,conf/socc/KadiyalaPL17,2017,"['Sai Praveen Kadiyala', 'Vikram Kumar Pudi']",Siew-Kei Lam,3,"['Sai Praveen Kadiyala', 'Vikram Kumar Pudi']"
28,Siew Kei Lam,conf/hpcc/GaoWJLS16,2016,"['Renfei Gao', 'Jigang Wu', 'Guiyuan Jiang', 'Thambipillai Srikanthan']",Siew Kei Lam,4,"['Renfei Gao', 'Jigang Wu', 'Guiyuan Jiang', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/icarcv/ElangoL16,2016,['Pon Nidhya Elango'],Siew Kei Lam,2,['Pon Nidhya Elango']
28,Siew Kei Lam,conf/scopes/WijesunderaPLS16,2016,"['Deshya Wijesundera', 'Alok Prakash', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Deshya Wijesundera', 'Alok Prakash', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/trustcom/WuLLJ16,2016,"['Jigang Wu', 'Ningjing Liu', 'Guiyuan Jiang']",Siew Kei Lam,3,"['Jigang Wu', 'Ningjing Liu', 'Guiyuan Jiang']"
28,Siew Kei Lam,conf/wacv/GargLSA16,2016,"['Kratika Garg', 'Thambipillai Srikanthan', 'Vedika Agarwal']",Siew Kei Lam,2,"['Kratika Garg', 'Thambipillai Srikanthan', 'Vedika Agarwal']"
28,Siew Kei Lam,conf/ccgrid/WangWJLS15,2015,"['Xu Wang', 'Jigang Wu', 'Guiyuan Jiang', 'Thambipillai Srikanthan']",Siew Kei Lam,4,"['Xu Wang', 'Jigang Wu', 'Guiyuan Jiang', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/icdsp/AungLS15,2015,"['Yan Lin Aung', 'Thambipillai Srikanthan']",Siew Kei Lam,2,"['Yan Lin Aung', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/psivt/RamakrishnanSLT15,2015,"['Nirmala Ramakrishnan', 'Thambipillai Srikanthan', 'Gauri Ravindra Tulsulkar']",Siew Kei Lam,3,"['Nirmala Ramakrishnan', 'Thambipillai Srikanthan', 'Gauri Ravindra Tulsulkar']"
28,Siew Kei Lam,conf/socc/GargALS15,2015,"['Kratika Garg', 'Yan Lin Aung', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Kratika Garg', 'Yan Lin Aung', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/ahs/RamakrishnanWLS14,2014,"['Nirmala Ramakrishnan', 'Meiqing Wu', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Nirmala Ramakrishnan', 'Meiqing Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/isicir/RamakrishnanWLS14,2014,"['Nirmala Ramakrishnan', 'Meiqing Wu', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Nirmala Ramakrishnan', 'Meiqing Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/isicir/WuLSS14,2014,"['Meiqing Wu', 'Thambipillai Srikanthan', 'Tushar Shah']",Siew Kei Lam,2,"['Meiqing Wu', 'Thambipillai Srikanthan', 'Tushar Shah']"
28,Siew Kei Lam,conf/itsc/WuLS14,2014,"['Meiqing Wu', 'Thambipillai Srikanthan']",Siew Kei Lam,2,"['Meiqing Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/paap/ShiWLS14,2014,"['Wenjun Shi', 'Jigang Wu', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Wenjun Shi', 'Jigang Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/asap/PrakashLSC13,2013,"['Alok Prakash', 'Thambipillai Srikanthan', 'Christopher T. Clarke']",Siew Kei Lam,2,"['Alok Prakash', 'Thambipillai Srikanthan', 'Christopher T. Clarke']"
28,Siew Kei Lam,conf/iscas/ZhuWLS13,2013,"['Yuanbo Zhu', 'Jigang Wu', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Yuanbo Zhu', 'Jigang Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/ised/AungLS13,2013,"['Yan Lin Aung', 'Thambipillai Srikanthan']",Siew Kei Lam,2,"['Yan Lin Aung', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/ised/MishraAWLS13,2013,"['Gaurav Mishra', 'Yan Lin Aung', 'Meiqing Wu', 'Thambipillai Srikanthan']",Siew Kei Lam,4,"['Gaurav Mishra', 'Yan Lin Aung', 'Meiqing Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/fpt/AungLS12,2012,"['Yan Lin Aung', 'Thambipillai Srikanthan']",Siew Kei Lam,2,"['Yan Lin Aung', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/icpads/ZhuWLS12,2012,"['Yuanbo Zhu', 'Jigang Wu', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Yuanbo Zhu', 'Jigang Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/iscas/LiuLSY12,2012,"['Bo Liu', 'Thambipillai Srikanthan', 'Weiqi Yuan']",Siew Kei Lam,2,"['Bo Liu', 'Thambipillai Srikanthan', 'Weiqi Yuan']"
28,Siew Kei Lam,conf/iscas/WuRLS12,2012,"['Meiqing Wu', 'Nirmala Ramakrishnan', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Meiqing Wu', 'Nirmala Ramakrishnan', 'Thambipillai Srikanthan']"
